car_type,hour,day_of_week,multiplier
SEDAN,18,5,1.288
SEDAN,17,5,1.524
PICKUP,23,0,1.234
SUV,21,3,1.106
PICKUP,3,1,1.241
SEDAN,17,3,1.225
SUV,21,1,1.129
PICKUP,11,2,1.402
SUV,11,3,1.221
PICKUP,23,2,1.287
SEDAN,18,4,1.013
SEDAN,12,6,1.266
SUV,11,3,1.266
PICKUP,12,0,1.404
XE_MAY,9,4,0.585
XE_MAY,16,1,0.598
SUV,0,2,1.124
SEDAN,6,6,1.147
SUV,0,6,1.502
SUV,17,4,1.531
SEDAN,3,0,0.909
PICKUP,11,1,1.397
SEDAN,8,2,1.194
SEDAN,7,2,1.009
SUV,2,4,1.128
PICKUP,18,1,1.363
XE_MAY,23,2,0.45
PICKUP,5,3,1.283
XE_MAY,19,5,0.648
SUV,1,5,1.423
PICKUP,2,6,1.666
XE_MAY,10,2,0.589
PICKUP,13,6,1.794
XE_MAY,7,5,0.637
XE_MAY,20,6,0.643
PICKUP,1,2,1.279
XE_MAY,10,4,0.601
SEDAN,10,4,1.179
SEDAN,4,0,0.92
PICKUP,14,6,1.861
XE_MAY,7,3,0.511
SUV,12,1,1.23
SEDAN,10,0,1.196
PICKUP,18,5,1.873
XE_MAY,17,3,0.61
SUV,2,3,1.093
PICKUP,22,1,1.227
SEDAN,15,4,1.197
SEDAN,15,3,1.229
SEDAN,17,4,1.203
SEDAN,7,0,1.0
SUV,13,2,1.22
XE_MAY,3,5,0.591
PICKUP,13,2,1.427
SUV,6,2,1.117
SUV,19,5,1.652
XE_MAY,9,1,0.617
SUV,19,6,1.596
PICKUP,19,1,1.402
PICKUP,1,6,1.617
SEDAN,6,5,1.191
SUV,4,6,1.469
XE_MAY,3,5,0.59
XE_MAY,7,4,0.509
SEDAN,9,0,1.193
SUV,22,6,1.499
XE_MAY,9,3,0.601
PICKUP,0,2,1.234
SEDAN,23,4,0.911
SEDAN,6,4,0.916
SUV,17,3,1.484
SEDAN,22,5,1.195
XE_MAY,12,4,0.512
XE_MAY,8,1,0.592
XE_MAY,9,1,0.617
SUV,1,3,1.101
XE_MAY,2,3,0.442
SUV,21,6,1.435
SUV,3,0,1.152
SUV,20,3,1.262
SEDAN,12,4,0.979
XE_MAY,10,3,0.598
XE_MAY,5,1,0.453
PICKUP,17,5,2.129
XE_MAY,1,1,0.46
SUV,10,3,1.527
PICKUP,23,1,1.26
XE_MAY,11,5,0.668
SUV,11,5,1.617
SUV,7,4,1.286
SUV,1,5,1.477
SUV,12,6,1.638
XE_MAY,17,2,0.588
SEDAN,4,2,0.921
PICKUP,21,1,1.255
XE_MAY,23,3,0.441
SEDAN,13,1,0.971
SEDAN,13,2,1.004
SUV,14,4,1.252
SEDAN,6,5,1.185
SEDAN,18,4,1.023
SEDAN,4,2,0.877
SEDAN,13,6,1.318
SEDAN,20,4,0.981
SEDAN,10,0,1.226
XE_MAY,5,2,0.459
SEDAN,23,0,0.902
SUV,13,3,1.266
SUV,14,5,1.607
SUV,4,6,1.46
SEDAN,3,1,0.917
SEDAN,0,6,1.167
SUV,19,4,1.239
SEDAN,19,1,1.0
SEDAN,21,0,0.918
SUV,2,5,1.448
PICKUP,4,4,1.235
PICKUP,22,5,1.659
SUV,5,6,1.491
PICKUP,15,3,1.64
SEDAN,5,1,0.886
SEDAN,1,3,0.881
XE_MAY,8,3,0.595
SEDAN,23,5,1.167
SEDAN,6,0,0.913
SEDAN,14,6,1.312
PICKUP,22,2,1.269
PICKUP,7,3,1.388
PICKUP,1,4,1.286
PICKUP,23,2,1.258
PICKUP,19,5,1.872
XE_MAY,16,0,0.605
PICKUP,14,6,1.779
XE_MAY,7,4,0.505
PICKUP,23,0,1.247
PICKUP,16,6,2.208
XE_MAY,6,2,0.438
PICKUP,12,2,1.373
SUV,14,1,1.277
PICKUP,9,4,1.652
XE_MAY,22,4,0.459
SEDAN,14,6,1.283
PICKUP,2,5,1.652
XE_MAY,5,6,0.592
SEDAN,12,3,1.001
SUV,14,0,1.235
SEDAN,14,4,0.983
SEDAN,14,0,0.972
SUV,10,5,1.927
SEDAN,22,5,1.181
XE_MAY,2,0,0.462
PICKUP,20,2,1.431
XE_MAY,16,5,0.792
PICKUP,23,6,1.666
SEDAN,12,4,1.01
PICKUP,1,6,1.614
SEDAN,10,4,1.229
SEDAN,5,6,1.182
SEDAN,5,6,1.174
XE_MAY,13,2,0.488
SUV,23,6,1.458
PICKUP,9,5,2.179
SEDAN,3,1,0.92
SEDAN,0,4,0.903
SUV,0,3,1.117
PICKUP,15,4,1.728
XE_MAY,19,3,0.488
SEDAN,6,4,0.896
PICKUP,14,3,1.362
PICKUP,2,4,1.278
XE_MAY,7,4,0.513
SUV,19,5,1.604
SEDAN,1,1,0.919
SEDAN,1,5,1.155
SUV,1,1,1.153
XE_MAY,21,4,0.457
SUV,10,0,1.527
XE_MAY,3,3,0.437
SEDAN,5,5,1.202
SUV,19,5,1.647
SEDAN,14,5,1.285
SUV,1,0,1.147
SUV,10,2,1.48
PICKUP,2,6,1.675
PICKUP,17,0,1.641
SUV,15,1,1.518
XE_MAY,22,6,0.586
SUV,10,4,1.464
PICKUP,16,1,1.654
SEDAN,19,0,0.971
XE_MAY,18,5,0.649
XE_MAY,15,5,0.771
SUV,13,4,1.257
SUV,8,4,1.482
SUV,4,4,1.111
PICKUP,16,5,2.216
PICKUP,15,6,2.125
SEDAN,19,1,1.024
SUV,6,0,1.149
XE_MAY,0,3,0.455
XE_MAY,23,6,0.588
SEDAN,19,3,1.024
PICKUP,1,2,1.236
SUV,17,6,1.901
SEDAN,0,5,1.152
SEDAN,22,2,0.916
SUV,2,2,1.094
SUV,16,4,1.507
SUV,0,0,1.158
SUV,10,3,1.532
XE_MAY,5,1,0.451
SUV,10,5,1.899
PICKUP,15,6,2.227
XE_MAY,20,1,0.503
PICKUP,4,5,1.6
PICKUP,17,2,1.639
PICKUP,13,5,1.865
XE_MAY,16,2,0.606
SUV,17,4,1.53
XE_MAY,6,4,0.46
SUV,11,0,1.255
SEDAN,8,6,1.562
XE_MAY,10,3,0.597
SEDAN,18,4,0.989
PICKUP,5,4,1.255
XE_MAY,9,5,0.793
SUV,22,0,1.132
SUV,13,0,1.279
PICKUP,7,2,1.395
PICKUP,9,1,1.691
SUV,5,0,1.134
SUV,1,6,1.471
SEDAN,2,3,0.911
XE_MAY,15,4,0.591
SEDAN,6,2,0.901
PICKUP,23,6,1.599
SUV,10,1,1.49
XE_MAY,16,5,0.779
SEDAN,6,5,1.181
XE_MAY,14,3,0.514
XE_MAY,0,2,0.453
XE_MAY,21,6,0.594
XE_MAY,10,3,0.6
XE_MAY,3,4,0.454
SUV,0,4,1.096
SUV,20,1,1.232
SUV,6,1,1.116
SUV,8,4,1.498
SUV,14,5,1.581
XE_MAY,8,1,0.587
SEDAN,8,0,1.184
XE_MAY,19,4,0.514
XE_MAY,6,4,0.445
SUV,17,2,1.498
SUV,4,5,1.436
SUV,18,1,1.258
SEDAN,2,2,0.888
SUV,17,3,1.474
XE_MAY,4,0,0.45
PICKUP,21,0,1.223
XE_MAY,12,0,0.485
XE_MAY,13,3,0.492
SEDAN,22,4,0.875
PICKUP,19,2,1.367
SUV,10,6,1.931
SEDAN,22,6,1.191
XE_MAY,14,4,0.502
SEDAN,2,6,1.171
PICKUP,3,3,1.244
SUV,21,5,1.5
PICKUP,15,1,1.67
SEDAN,4,6,1.141
SUV,11,3,1.259
SEDAN,22,5,1.143
SUV,10,3,1.486
PICKUP,0,0,1.261
PICKUP,3,2,1.288
PICKUP,14,6,1.819
SEDAN,9,6,1.579
SUV,19,4,1.287
SEDAN,16,0,1.173
PICKUP,22,6,1.616
XE_MAY,10,4,0.596
XE_MAY,9,4,0.597
PICKUP,12,4,1.393
PICKUP,7,4,1.434
SEDAN,17,1,1.215
PICKUP,12,0,1.409
SUV,6,6,1.446
PICKUP,13,4,1.427
SUV,17,5,2.003
SEDAN,5,5,1.193
XE_MAY,23,5,0.568
PICKUP,3,4,1.27
PICKUP,10,4,1.635
XE_MAY,14,1,0.493
SUV,12,0,1.217
XE_MAY,21,6,0.589
PICKUP,10,3,1.699
XE_MAY,2,1,0.44
SEDAN,18,6,1.291
XE_MAY,4,5,0.583
SEDAN,14,4,0.992
SUV,12,4,1.222
PICKUP,6,1,1.254
SUV,9,4,1.523
SUV,13,5,1.583
SUV,2,4,1.097
XE_MAY,19,4,0.496
PICKUP,4,6,1.681
SUV,1,2,1.136
XE_MAY,0,5,0.591
SUV,3,6,1.45
SUV,0,1,1.131
PICKUP,22,4,1.223
PICKUP,20,2,1.411
PICKUP,12,3,1.435
PICKUP,17,1,1.691
SEDAN,15,1,1.227
SEDAN,17,3,1.216
SUV,13,1,1.222
SUV,21,1,1.152
SEDAN,0,0,0.877
XE_MAY,4,5,0.586
PICKUP,21,3,1.233
SEDAN,2,1,0.874
PICKUP,14,6,1.811
PICKUP,19,1,1.383
PICKUP,16,3,1.679
PICKUP,12,2,1.406
SEDAN,5,3,0.875
XE_MAY,18,3,0.489
SEDAN,22,4,0.903
SUV,13,4,1.238
SUV,1,0,1.14
PICKUP,22,2,1.272
XE_MAY,18,3,0.51
XE_MAY,4,5,0.592
SUV,14,4,1.245
XE_MAY,16,4,0.606
XE_MAY,7,3,0.493
XE_MAY,21,5,0.578
SUV,19,0,1.272
SUV,17,6,1.944
XE_MAY,15,3,0.611
PICKUP,18,5,1.855
SUV,13,2,1.277
SUV,9,1,1.537
XE_MAY,22,4,0.448
SUV,23,6,1.447
SUV,1,5,1.47
PICKUP,18,1,1.389
XE_MAY,21,2,0.453
XE_MAY,9,3,0.607
XE_MAY,4,4,0.455
XE_MAY,8,2,0.595
SEDAN,19,2,0.98
SUV,8,0,1.494
XE_MAY,19,1,0.489
SEDAN,21,3,0.921
SUV,5,2,1.115
SEDAN,15,1,1.175
XE_MAY,10,0,0.583
SEDAN,19,6,1.311
SEDAN,15,6,1.573
PICKUP,12,1,1.387
PICKUP,23,5,1.596
SEDAN,6,4,0.895
SUV,1,5,1.446
SUV,3,0,1.137
SEDAN,14,3,1.006
PICKUP,9,3,1.666
SEDAN,12,5,1.278
PICKUP,15,2,1.729
SEDAN,16,6,1.556
PICKUP,0,2,1.274
PICKUP,12,5,1.781
SUV,16,5,1.948
XE_MAY,3,4,0.437
SUV,13,4,1.25
SUV,10,2,1.542
SUV,3,2,1.117
PICKUP,14,6,1.77
SEDAN,23,5,1.137
SEDAN,16,2,1.192
SEDAN,10,4,1.176
XE_MAY,21,0,0.437
XE_MAY,0,3,0.457
XE_MAY,16,0,0.599
PICKUP,11,1,1.382
SUV,8,1,1.536
XE_MAY,0,4,0.44
XE_MAY,1,4,0.462
SEDAN,19,5,1.285
XE_MAY,22,0,0.46
XE_MAY,19,1,0.503
PICKUP,21,6,1.67
SEDAN,3,5,1.204
SEDAN,8,2,1.185
PICKUP,21,0,1.295
PICKUP,8,6,2.17
PICKUP,22,5,1.627
SUV,8,1,1.486
XE_MAY,8,6,0.782
XE_MAY,12,3,0.49
SUV,1,2,1.129
SUV,5,3,1.128
XE_MAY,15,1,0.609
PICKUP,5,5,1.671
PICKUP,3,1,1.255
PICKUP,6,4,1.245
XE_MAY,14,5,0.641
SUV,3,0,1.104
XE_MAY,2,4,0.438
SUV,14,0,1.238
PICKUP,4,5,1.615
XE_MAY,1,5,0.601
PICKUP,8,1,1.686
SUV,12,4,1.239
XE_MAY,16,5,0.784
PICKUP,15,3,1.644
PICKUP,23,6,1.633
XE_MAY,17,1,0.605
XE_MAY,12,5,0.65
PICKUP,3,4,1.253
SUV,10,5,2.008
SUV,12,0,1.279
XE_MAY,11,4,0.504
SUV,2,6,1.469
PICKUP,9,5,2.2
SEDAN,5,4,0.884
XE_MAY,12,5,0.646
SEDAN,9,5,1.517
PICKUP,3,5,1.636
SUV,15,0,1.504
PICKUP,23,1,1.239
SEDAN,1,1,0.925
XE_MAY,23,4,0.461
SEDAN,15,3,1.216
XE_MAY,17,5,0.782
SUV,15,4,1.533
PICKUP,0,0,1.232
SUV,1,2,1.145
XE_MAY,12,0,0.489
SEDAN,20,5,1.323
PICKUP,21,6,1.616
SEDAN,23,4,0.92
SEDAN,2,0,0.924
SEDAN,15,5,1.527
XE_MAY,15,4,0.599
XE_MAY,7,5,0.669
SEDAN,0,1,0.899
XE_MAY,9,6,0.797
XE_MAY,14,4,0.503
SEDAN,18,0,0.993
XE_MAY,3,3,0.444
SEDAN,2,6,1.149
SEDAN,13,2,1.016
PICKUP,10,0,1.669
SEDAN,10,6,1.561
SEDAN,1,4,0.9
SEDAN,10,0,1.206
XE_MAY,8,1,0.613
PICKUP,5,5,1.685
SUV,17,1,1.492
PICKUP,7,4,1.428
XE_MAY,4,0,0.457
PICKUP,5,0,1.266
PICKUP,2,0,1.294
XE_MAY,5,0,0.442
SUV,13,5,1.587
PICKUP,22,1,1.287
SEDAN,4,5,1.166
SUV,16,3,1.531
PICKUP,7,1,1.433
XE_MAY,19,1,0.487
PICKUP,19,0,1.432
SUV,11,3,1.246
XE_MAY,17,1,0.6
SEDAN,3,4,0.907
XE_MAY,19,2,0.513
SEDAN,14,6,1.262
SEDAN,8,0,1.198
SEDAN,3,6,1.183
SEDAN,21,6,1.186
PICKUP,15,1,1.699
SEDAN,21,0,0.88
XE_MAY,20,2,0.494
SUV,6,3,1.115
SUV,10,4,1.527
PICKUP,1,0,1.243
XE_MAY,17,1,0.59
SEDAN,0,3,0.925
XE_MAY,2,1,0.437
PICKUP,18,4,1.442
SUV,13,1,1.263
SUV,7,6,1.657
XE_MAY,10,1,0.593
XE_MAY,7,5,0.631
PICKUP,6,3,1.278
SEDAN,2,3,0.918
PICKUP,1,3,1.278
SEDAN,6,4,0.881
PICKUP,5,3,1.279
SUV,4,3,1.143
SEDAN,20,2,1.01
SUV,6,2,1.143
SEDAN,1,5,1.194
XE_MAY,8,1,0.604
XE_MAY,14,3,0.488
PICKUP,5,6,1.637
SUV,7,2,1.218
SEDAN,20,4,0.994
SEDAN,18,4,0.994
SEDAN,2,3,0.877
PICKUP,6,4,1.249
PICKUP,14,2,1.367
XE_MAY,23,3,0.458
SEDAN,7,2,1.027
PICKUP,18,1,1.364
SEDAN,18,0,1.027
PICKUP,1,0,1.262
PICKUP,23,6,1.618
XE_MAY,13,4,0.487
PICKUP,15,6,2.184
XE_MAY,14,3,0.509
SEDAN,2,4,0.911
XE_MAY,22,5,0.569
PICKUP,6,1,1.228
SUV,9,1,1.491
XE_MAY,0,3,0.444
SUV,5,5,1.439
PICKUP,18,5,1.796
XE_MAY,14,3,0.509
SEDAN,22,3,0.923
SEDAN,11,5,1.293
PICKUP,22,5,1.678
XE_MAY,20,0,0.495
PICKUP,22,2,1.258
XE_MAY,9,3,0.59
SUV,22,4,1.134
SEDAN,21,0,0.926
SUV,23,0,1.132
SUV,1,0,1.115
PICKUP,11,3,1.412
XE_MAY,11,2,0.489
SEDAN,20,4,1.023
XE_MAY,17,5,0.78
SEDAN,4,2,0.897
SEDAN,17,0,1.206
PICKUP,23,6,1.65
SEDAN,23,6,1.14
SEDAN,10,2,1.213
SUV,16,5,1.92
PICKUP,8,0,1.702
XE_MAY,11,2,0.51
PICKUP,15,4,1.711
XE_MAY,15,5,0.782
SUV,14,4,1.252
SUV,21,5,1.431
XE_MAY,6,3,0.457
XE_MAY,2,3,0.444
SEDAN,9,0,1.2
XE_MAY,5,2,0.444
XE_MAY,22,1,0.44
PICKUP,4,6,1.651
SEDAN,16,5,1.518
XE_MAY,9,3,0.609
SEDAN,15,2,1.187
PICKUP,14,5,1.765
XE_MAY,9,1,0.6
XE_MAY,0,6,0.569
SEDAN,16,5,1.539
SUV,13,4,1.266
SUV,20,5,1.582
SUV,15,4,1.531
PICKUP,14,2,1.358
SEDAN,9,1,1.182
SUV,7,3,1.268
SUV,9,6,1.929
XE_MAY,4,2,0.439
SUV,14,1,1.24
SEDAN,22,4,0.888
SUV,5,1,1.148
SEDAN,5,1,0.89
XE_MAY,1,2,0.458
SEDAN,14,2,1.024
SUV,5,1,1.121
XE_MAY,21,2,0.461
SUV,4,2,1.117
PICKUP,17,1,1.727
SUV,3,0,1.097
PICKUP,15,6,2.209
SEDAN,14,2,1.0
SEDAN,0,5,1.162
SUV,20,5,1.638
SUV,15,2,1.518
SEDAN,18,5,1.261
PICKUP,10,5,2.14
XE_MAY,23,3,0.456
XE_MAY,4,5,0.591
XE_MAY,9,0,0.617
PICKUP,19,6,1.849
SEDAN,14,2,1.027
XE_MAY,10,0,0.607
SEDAN,18,4,0.988
SEDAN,8,1,1.172
XE_MAY,2,4,0.458
PICKUP,21,5,1.652
XE_MAY,16,3,0.584
SEDAN,15,2,1.19
XE_MAY,21,2,0.462
PICKUP,4,5,1.638
PICKUP,11,3,1.394
SUV,0,2,1.122
SUV,11,2,1.228
PICKUP,17,0,1.667
SEDAN,23,3,0.893
PICKUP,14,2,1.362
SEDAN,23,3,0.914
PICKUP,4,6,1.63
XE_MAY,4,1,0.459
SUV,15,6,1.991
SUV,2,4,1.106
PICKUP,2,0,1.272
PICKUP,20,2,1.398
PICKUP,5,4,1.289
PICKUP,22,4,1.239
SEDAN,6,1,0.91
PICKUP,9,4,1.691
PICKUP,1,6,1.618
SUV,18,2,1.223
PICKUP,17,5,2.204
PICKUP,7,0,1.42
XE_MAY,4,2,0.445
SUV,20,6,1.639
PICKUP,3,5,1.628
SUV,13,1,1.266
PICKUP,22,5,1.608
SEDAN,0,0,0.921
SUV,15,0,1.481
SUV,18,3,1.24
PICKUP,8,5,2.126
PICKUP,22,6,1.6
XE_MAY,11,4,0.5
XE_MAY,8,1,0.592
XE_MAY,4,2,0.459
PICKUP,22,1,1.223
SUV,5,0,1.117
SUV,11,3,1.238
SUV,1,2,1.093
SUV,16,5,1.906
XE_MAY,16,1,0.597
SEDAN,3,4,0.9
SEDAN,17,2,1.193
SUV,21,6,1.465
SUV,8,5,1.961
SUV,3,4,1.092
SUV,4,0,1.123
SEDAN,16,2,1.233
SUV,15,3,1.502
SUV,5,0,1.137
SEDAN,4,4,0.89
SEDAN,6,6,1.189
XE_MAY,13,3,0.508
XE_MAY,3,6,0.586
SEDAN,0,3,0.926
SUV,9,5,1.906
SUV,4,6,1.42
PICKUP,19,4,1.423
SUV,5,5,1.489
SUV,0,5,1.429
XE_MAY,7,1,0.493
SEDAN,22,1,0.874
SUV,4,1,1.111
SEDAN,2,3,0.915
XE_MAY,2,0,0.45
PICKUP,13,0,1.387
SEDAN,3,0,0.893
XE_MAY,15,0,0.582
SUV,1,0,1.111
SUV,21,0,1.135
XE_MAY,3,4,0.463
SEDAN,18,1,1.021
SEDAN,21,2,0.874
XE_MAY,2,1,0.461
SUV,18,2,1.271
SUV,5,6,1.487
SEDAN,16,4,1.197
XE_MAY,3,6,0.581
XE_MAY,16,1,0.593
SEDAN,9,1,1.169
XE_MAY,23,0,0.443
SEDAN,16,6,1.536
PICKUP,11,5,1.818
SEDAN,14,5,1.319
XE_MAY,5,6,0.584
SUV,12,3,1.217
SEDAN,16,1,1.233
PICKUP,3,6,1.682
SUV,3,3,1.144
XE_MAY,16,1,0.618
PICKUP,11,5,1.825
SUV,17,5,2.004
XE_MAY,2,2,0.439
PICKUP,3,3,1.25
SUV,14,4,1.229
SUV,21,6,1.436
PICKUP,7,4,1.37
PICKUP,9,6,2.2
PICKUP,6,6,1.666
XE_MAY,15,5,0.784
SUV,5,0,1.101
PICKUP,21,0,1.284
PICKUP,14,4,1.411
XE_MAY,3,1,0.447
PICKUP,12,5,1.839
XE_MAY,23,1,0.444
XE_MAY,11,1,0.495
SUV,6,4,1.153
PICKUP,3,1,1.244
PICKUP,23,3,1.258
SUV,22,6,1.497
SUV,20,3,1.266
SUV,15,5,1.899
PICKUP,15,4,1.644
SUV,4,6,1.419
PICKUP,3,0,1.27
SUV,15,3,1.495
SEDAN,20,1,0.978
XE_MAY,3,5,0.601
XE_MAY,2,3,0.451
XE_MAY,5,3,0.443
SUV,4,2,1.125
XE_MAY,2,5,0.591
PICKUP,14,1,1.364
SUV,21,3,1.11
PICKUP,16,2,1.711
SUV,17,4,1.496
XE_MAY,1,3,0.451
XE_MAY,12,3,0.498
SUV,12,3,1.216
PICKUP,1,0,1.235
SEDAN,17,5,1.555
SUV,22,1,1.105
PICKUP,13,1,1.362
SUV,22,3,1.148
PICKUP,3,4,1.296
PICKUP,21,4,1.282
PICKUP,15,4,1.716
SEDAN,16,0,1.181
PICKUP,8,3,1.726
PICKUP,19,5,1.787
SUV,9,2,1.541
XE_MAY,0,4,0.463
XE_MAY,4,6,0.592
SUV,11,6,1.672
XE_MAY,20,2,0.502
PICKUP,3,3,1.242
SUV,11,3,1.245
SUV,1,5,1.471
SEDAN,7,1,0.974
SUV,18,0,1.259
XE_MAY,9,0,0.617
SUV,5,0,1.104
SUV,1,3,1.145
PICKUP,18,4,1.434
PICKUP,8,0,1.725
PICKUP,18,0,1.439
SUV,12,4,1.252
PICKUP,10,4,1.728
XE_MAY,15,0,0.609
SEDAN,10,3,1.176
SUV,5,4,1.123
SUV,11,3,1.266
SEDAN,15,5,1.536
XE_MAY,17,1,0.605
SUV,8,0,1.515
SUV,18,3,1.225
SEDAN,19,5,1.305
XE_MAY,22,6,0.595
XE_MAY,18,2,0.5
SUV,2,4,1.092
PICKUP,13,1,1.359
SUV,2,5,1.45
SUV,16,6,2.0
SUV,13,5,1.599
SUV,6,3,1.134
PICKUP,8,4,1.652
PICKUP,21,6,1.62
SEDAN,0,5,1.194
SEDAN,18,3,1.014
SEDAN,21,6,1.142
PICKUP,8,5,2.175
PICKUP,18,5,1.769
XE_MAY,16,1,0.599
SUV,14,1,1.262
SEDAN,4,5,1.143
SUV,13,3,1.234
SUV,2,5,1.454
SEDAN,13,2,1.025
SUV,20,1,1.287
SUV,21,4,1.094
SEDAN,12,1,1.016
XE_MAY,4,1,0.447
XE_MAY,7,6,0.646
SUV,14,3,1.269
PICKUP,13,5,1.866
XE_MAY,6,1,0.462
SUV,4,0,1.13
SUV,8,5,1.933
SEDAN,20,6,1.322
XE_MAY,23,3,0.443
XE_MAY,1,6,0.587
XE_MAY,10,4,0.595
SUV,2,3,1.136
SUV,21,5,1.44
XE_MAY,12,6,0.638
SEDAN,7,0,1.025
XE_MAY,16,5,0.761
SUV,15,0,1.501
SEDAN,19,0,0.983
SUV,10,6,1.896
PICKUP,23,5,1.592
SEDAN,13,1,0.981
SEDAN,3,1,0.92
SEDAN,8,3,1.184
PICKUP,8,6,2.243
XE_MAY,15,4,0.603
SUV,22,0,1.121
SUV,17,3,1.507
PICKUP,21,1,1.261
SUV,4,2,1.142
PICKUP,22,2,1.244
SUV,0,5,1.45
XE_MAY,23,5,0.599
XE_MAY,22,6,0.601
SEDAN,8,4,1.228
PICKUP,9,5,2.173
SUV,21,0,1.144
SEDAN,14,3,0.999
XE_MAY,12,2,0.5
SUV,2,6,1.437
SEDAN,9,1,1.207
SEDAN,14,5,1.276
SUV,20,3,1.237
XE_MAY,8,6,0.797
XE_MAY,15,3,0.589
PICKUP,10,5,2.128
PICKUP,3,6,1.596
SEDAN,22,2,0.924
XE_MAY,11,3,0.5
SUV,14,5,1.616
XE_MAY,1,5,0.596
SEDAN,20,3,1.02
SEDAN,0,3,0.891
SEDAN,20,2,1.012
SUV,18,0,1.27
XE_MAY,5,1,0.454
SEDAN,19,5,1.273
PICKUP,10,3,1.718
PICKUP,23,1,1.263
SUV,5,5,1.443
SUV,9,1,1.493
XE_MAY,13,2,0.486
SEDAN,12,3,0.978
SEDAN,0,0,0.914
SEDAN,2,3,0.873
SEDAN,8,5,1.552
SEDAN,1,3,0.901
PICKUP,19,2,1.363
SEDAN,2,2,0.926
SEDAN,18,0,0.984
XE_MAY,22,4,0.445
PICKUP,14,6,1.799
PICKUP,3,1,1.24
SEDAN,6,6,1.135
SUV,9,5,1.977
PICKUP,12,1,1.439
PICKUP,6,4,1.239
SEDAN,9,5,1.575
SEDAN,13,1,1.015
PICKUP,4,0,1.286
SUV,8,1,1.493
PICKUP,7,2,1.383
PICKUP,2,0,1.247
PICKUP,4,6,1.659
SUV,22,3,1.146
SEDAN,22,3,0.883
PICKUP,23,4,1.25
SUV,2,0,1.152
XE_MAY,1,2,0.458
SEDAN,15,2,1.235
XE_MAY,0,2,0.457
PICKUP,9,3,1.669
SUV,4,4,1.131
XE_MAY,18,1,0.505
SUV,5,4,1.097
PICKUP,10,3,1.684
SEDAN,2,2,0.911
PICKUP,4,2,1.235
XE_MAY,10,0,0.61
SEDAN,15,6,1.568
SUV,23,2,1.156
PICKUP,9,2,1.634
SUV,16,2,1.479
PICKUP,5,2,1.268
PICKUP,4,4,1.245
PICKUP,1,1,1.276
SEDAN,1,1,0.914
SEDAN,1,3,0.879
SUV,5,5,1.464
PICKUP,13,0,1.401
PICKUP,1,3,1.25
SUV,22,4,1.154
PICKUP,14,3,1.428
XE_MAY,23,6,0.592
SEDAN,3,2,0.912
XE_MAY,6,6,0.584
SUV,5,6,1.499
SEDAN,23,4,0.911
SUV,18,5,1.647
SEDAN,18,0,1.022
SEDAN,13,0,0.986
SEDAN,15,5,1.589
XE_MAY,10,0,0.589
SUV,21,5,1.449
XE_MAY,12,2,0.495
XE_MAY,10,1,0.617
XE_MAY,2,3,0.46
PICKUP,14,5,1.842
SUV,19,5,1.647
XE_MAY,10,0,0.602
PICKUP,10,5,2.243
SEDAN,6,6,1.17
XE_MAY,20,2,0.496
SUV,1,5,1.433
XE_MAY,17,4,0.61
PICKUP,2,3,1.278
SUV,5,1,1.117
PICKUP,2,0,1.224
SEDAN,5,3,0.918
PICKUP,9,5,2.12
SEDAN,3,2,0.911
PICKUP,13,5,1.871
SUV,21,4,1.121
SEDAN,11,5,1.279
XE_MAY,11,4,0.506
SEDAN,15,3,1.223
PICKUP,15,2,1.685
PICKUP,2,6,1.684
PICKUP,11,4,1.362
SEDAN,13,5,1.3
PICKUP,2,0,1.277
SUV,14,5,1.66
SEDAN,20,5,1.275
SEDAN,15,4,1.222
XE_MAY,9,3,0.602
PICKUP,2,6,1.628
PICKUP,9,1,1.643
SEDAN,21,2,0.92
SEDAN,16,3,1.175
SUV,18,0,1.236
XE_MAY,1,4,0.444
XE_MAY,16,3,0.613
PICKUP,3,3,1.273
SUV,11,2,1.272
XE_MAY,16,0,0.591
XE_MAY,23,5,0.589
PICKUP,5,6,1.645
SEDAN,12,0,1.02
XE_MAY,13,5,0.666
SUV,10,4,1.456
PICKUP,21,3,1.273
SUV,10,6,1.898
SEDAN,6,1,0.903
XE_MAY,23,4,0.444
SUV,21,0,1.112
PICKUP,17,0,1.665
XE_MAY,12,0,0.504
XE_MAY,5,5,0.579
PICKUP,14,5,1.845
PICKUP,21,5,1.629
PICKUP,9,4,1.636
SUV,22,5,1.487
PICKUP,9,0,1.658
SEDAN,4,0,0.896
SEDAN,3,6,1.183
XE_MAY,22,1,0.445
XE_MAY,6,3,0.438
SEDAN,20,1,0.992
PICKUP,20,6,1.869
SEDAN,2,2,0.908
PICKUP,4,3,1.273
PICKUP,0,0,1.27
SEDAN,4,5,1.149
PICKUP,15,3,1.672
XE_MAY,14,4,0.508
SEDAN,6,2,0.878
PICKUP,1,2,1.243
XE_MAY,3,5,0.577
PICKUP,13,6,1.813
PICKUP,23,4,1.296
SUV,1,3,1.096
PICKUP,15,4,1.682
PICKUP,7,5,1.785
XE_MAY,16,0,0.617
PICKUP,18,2,1.368
XE_MAY,8,5,0.775
PICKUP,15,0,1.704
PICKUP,19,5,1.842
SUV,14,5,1.617
PICKUP,0,1,1.248
SUV,23,1,1.118
PICKUP,11,3,1.38
SEDAN,16,1,1.179
SUV,19,6,1.623
PICKUP,4,2,1.243
PICKUP,13,6,1.797
